               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048441,            0.024751,            0.032703,             0.36968,             0.60302,             0.48481,              0.2324,            0.016935,           0.0046666,            0.012123,            0.070162,           0.0033153,           0.0033153
                   1,            0.034414,            0.015282,            0.023653,             0.64612,             0.93256,             0.88445,             0.53507,            0.013306,           0.0029707,           0.0051107,            0.040151,           0.0066377,           0.0066377
                   2,            0.033004,            0.012869,            0.015545,             0.71505,              0.8406,             0.82135,             0.37513,            0.016074,            0.003098,           0.0029345,            0.010129,            0.009949,            0.009949
                   3,            0.029765,             0.01219,             0.01133,             0.93142,             0.90723,             0.98009,              0.5679,            0.013028,           0.0036872,           0.0024914,           0.0099505,           0.0099505,           0.0099505
                   4,            0.026805,            0.012125,            0.010514,             0.95605,             0.98258,             0.99376,             0.61301,            0.010167,           0.0031821,           0.0015469,           0.0099505,           0.0099505,           0.0099505
                   5,            0.024429,            0.011885,            0.010285,             0.98223,             0.97387,             0.99402,             0.65781,           0.0086082,           0.0031726,          0.00098361,            0.009934,            0.009934,            0.009934
                   6,            0.022911,            0.011791,            0.010101,             0.98018,              0.9731,             0.99256,             0.62747,            0.010155,           0.0031874,           0.0013812,           0.0099175,           0.0099175,           0.0099175
                   7,            0.023266,            0.011589,           0.0088576,              0.9793,             0.99169,               0.993,             0.72965,           0.0078671,           0.0025884,          0.00052383,            0.009901,            0.009901,            0.009901
                   8,            0.022711,            0.010869,           0.0073009,              0.9938,             0.99798,               0.995,             0.72345,           0.0085596,            0.002579,          0.00049572,           0.0098845,           0.0098845,           0.0098845
                   9,            0.022521,            0.011256,           0.0084582,             0.98286,             0.99374,               0.995,             0.68744,             0.00889,           0.0027152,          0.00056438,            0.009868,            0.009868,            0.009868
