               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,           0.0073992,           0.0050699,           0.0026097,             0.99766,                   1,               0.995,             0.97988,            0.001743,           0.0011046,          5.1337e-05,            0.070162,           0.0033153,           0.0033153
                   1,           0.0080053,           0.0051508,           0.0016605,              0.9969,                   1,               0.995,             0.97345,           0.0027837,           0.0011616,          4.1509e-05,            0.040151,           0.0066377,           0.0066377
                   2,           0.0092825,           0.0054135,           0.0015049,             0.99679,                   1,               0.995,             0.95634,           0.0029686,           0.0012143,          8.8128e-05,            0.010129,            0.009949,            0.009949
                   3,           0.0094543,           0.0056818,           0.0017762,             0.99748,                   1,               0.995,             0.95636,           0.0029721,           0.0012174,           0.0001108,           0.0099505,           0.0099505,           0.0099505
                   4,           0.0099469,           0.0058975,           0.0021673,             0.99737,                   1,               0.995,             0.95324,           0.0028347,             0.00129,          9.2349e-05,           0.0099505,           0.0099505,           0.0099505
                   5,           0.0096781,           0.0060545,           0.0029652,             0.99609,                   1,               0.995,             0.95397,           0.0023627,           0.0012127,          0.00014511,            0.009934,            0.009934,            0.009934
                   6,           0.0098483,           0.0061283,           0.0023402,             0.99632,                   1,               0.995,             0.95897,           0.0026306,           0.0013291,          0.00017484,           0.0099175,           0.0099175,           0.0099175
                   7,            0.010157,           0.0062144,           0.0029833,             0.99639,             0.99711,               0.995,             0.93049,           0.0028367,           0.0015123,          9.0377e-05,            0.009901,            0.009901,            0.009901
                   8,            0.010467,           0.0062084,           0.0027226,             0.99342,             0.99597,               0.995,             0.91077,           0.0031412,           0.0015092,          0.00038694,           0.0098845,           0.0098845,           0.0098845
                   9,            0.011322,           0.0066572,           0.0030832,             0.99523,                   1,               0.995,             0.92287,           0.0031883,           0.0014658,          0.00015612,            0.009868,            0.009868,            0.009868
                  10,            0.010661,           0.0064744,           0.0029464,             0.99695,                   1,               0.995,             0.95983,           0.0029826,           0.0013565,          0.00012326,           0.0098515,           0.0098515,           0.0098515
                  11,           0.0091837,           0.0059854,           0.0020211,             0.99697,                   1,               0.995,             0.94282,           0.0029238,           0.0013715,          0.00014549,            0.009835,            0.009835,            0.009835
